campo,campo_norm,operador,es_ecp,rob_field,rob_activo,rob_gerencia,rob_vicepresidencia
ABANICO,ABANICO,ECOPETROL,true,ABANICO,ABANICO,PPH,GPA
ACAE-SAN MIGUEL (PTO COLON),ACAE-SAN MIGUEL (PTO COLON),ECOPETROL,true,ACAE-SAN MIGUEL,SUR,PPU,GPA
AGUAS BLANCAS,AGUAS BLANCAS,PAREX RESOURCES,false,,,,
AKACIAS,AKACIAS,ECOPETROL,true,AKACIAS,CPO-09,PUC,GCH
ALQAMARI,ALQAMARI,ECOPETROL,true,ALQAMARI,OCCIDENTE,PPU,GPA
ANDINA,ANDINA,PAREX RESOURCES (COL) AG SUC.,false,,,,
APIAY,APIAY,ECOPETROL,true,APIAY,APIAY,PPA,GAA
APIAY ESTE,APIAY ESTE,ECOPETROL,true,APIAY ESTE,APIAY,PPA,GAA
ARAGUATO,ARAGUATO,SIERRACOL ENERGY ARAUCA,false,,,,
ARAUCA,ARAUCA,PAREX RESOURCES (COL) AG SUC.,false,,,,
AREA TECA-COCORNA,AREA TECA-COCORNA,ECOPETROL,true,AREA TECA-COCORNA,AREA TECA-COCORNA,PTN,GTA
ARRAYAN,ARRAYAN,ECOPETROL,true,ARRAYAN,ARRAYAN-BALCON,PPH,GPA
AULLADOR,AULLADOR,ECOPETROL,true,AULLADOR,LISAMA,PCN,GRM
AUSTRAL,AUSTRAL,ECOPETROL,true,AUSTRAL,SURIA,PPA,GAA
BALCON,BALCON,ECOPETROL,true,BALCON,ARRAYAN-BALCON,PPH,GPA
BALLENA,BALLENA,HOCOL,false,,,,
BAYONERO,BAYONERO,SIERRACOL ENERGY ARAUCA,false,,,,
BONANZA,BONANZA,ECOPETROL,true,BONANZA,BONANZA,CPV,CPV
BORANDA,BORANDA,PAREX RESOURCES,false,,,,
BRISAS,BRISAS,ECOPETROL,true,BRISAS,DINA CRETACEO,PPH,GPA
CAIPAL,CAIPAL,UT IJP,false,CAIPAL,PALAGUA,GAN,GAN
CAJUA,CAJUA,FRONTERA ENERGY,false,,,,
CANAGUEY,CANAGUEY,SIERRACOL ENERGY ARAUCA,false,,,,
CAPACHOS,CAPACHOS,PAREX RESOURCES (COL) AG SUC.,false,,,,
CAPACHOS SUR,CAPACHOS SUR,PAREX RESOURCES (COL) AG SUC.,false,,,,
CARACARA SUR A,CARACARA SUR A,CEDCO,false,,,,
CARACARA SUR B y C,CARACARA SUR B Y C,CEDCO,false,,,,
CARIBE,CARIBE,ECOPETROL,true,CARIBE,OCCIDENTE,PPU,GPA
CARICARE,CARICARE,SIERRACOL ENERGY ARAUCA,false,,,,
CASABE,CASABE,ECOPETROL,true,CASABE,CASABE,PCS,GRM
CASABE SUR,CASABE SUR,ECOPETROL,true,CASABE SUR,CASABE,PCS,GRM
CASTILLA,CASTILLA,ECOPETROL,true,CASTILLA,CASTILLA,PPC,GAA
CASTILLA NORTE,CASTILLA NORTE,ECOPETROL,true,CASTILLA NORTE,CASTILLA,PPC,GAA
CAÑADA NORTE,CANADA NORTE,HOCOL,false,,,,
CAÑO LIMON,CANO LIMON,SIERRACOL ENERGY ARAUCA,false,,,,
CAÑO RONDON,CANO RONDON,SIERRACOL ENERGY ARAUCA,false,,,,
CAÑO SUR ESTE,CANO SUR ESTE,ECOPETROL,true,CAÑO SUR ESTE,CAÑO SUR,PPÑ,GOR
CAÑO YARUMAL,CANO YARUMAL,SIERRACOL ENERGY ARAUCA,false,,,,
CHICHIMENE,CHICHIMENE,ECOPETROL,true,CHICHIMENE,CHICHIMENE,PDH,GCH
CHICHIMENE SW,CHICHIMENE SW,ECOPETROL,true,CHICHIMENE SW,CHICHIMENE,PDH,GCH
CHIPIRON,CHIPIRON,SIERRACOL ENERGY ARAUCA,false,,,,
CHUCHUPA,CHUCHUPA,HOCOL,false,,,,
CHURUYACO,CHURUYACO,ECOPETROL,true,CHURUYACO,OCCIDENTE,PUTUMAYO,VAO
COHEMBI,COHEMBI,Gran Tierra Energy,false,,,,
CORAZON,CORAZON,PETROSANTANDER,false,,,,
CORAZON WEST,CORAZON WEST,PETROSANTANDER,false,,,,
CRISTALINA,CRISTALINA,ECOPETROL,true,CRISTALINA,CR-GR-SG,DEL RIO,VRC
CUPIAGUA,CUPIAGUA,ECOPETROL,true,CUPIAGUA,CUPIAGUA,PIEDEMONTE,VPI
CUPIAGUA SUR,CUPIAGUA SUR,ECOPETROL,true,,,,
CUSIANA,CUSIANA,ECOPETROL,true,CUSIANA,CUSIANA,PIEDEMONTE,VPI
DINA CRETACEO,DINA CRETACEO,ECOPETROL,true,DINA CRETACEO,DINA CRETACEO,PPH,GPA
DINA NORTE,DINA NORTE,ECOPETROL,true,DINA NORTE,DINA CRETACEO,PPH,GPA
DINA TERCIARIO,DINA TERCIARIO,ECOPETROL,true,DINA TERCIARIO,DINA CRETACEO,PPH,GPA
ELIZITA,ELIZITA,CEPCOLSA,false,,,,
FINN,FINN,SIERRACOL ENERGY ARAUCA,false,,,,
FLAMENCOS,FLAMENCOS,ECOPETROL,true,FLAMENCOS,FLAMENCOS,PCN,GRM
FLOREÑA,FLORENA,ECOPETROL,true,FLOREÑA,PIEDEMONTE,CUF,DFL
FLOREÑA MIRADOR,FLORENA MIRADOR,ECOPETROL,true,FLOREÑA MIRADOR,PIEDEMONTE,CUF,DFL
GALEMBO,GALEMBO,SIERRACOL ENERGY ARAUCA,false,,,,
GARZAS,GARZAS,ECOPETROL,true,GARZAS,CR-GR-SG,PCN,GRM
GAVAN,GAVAN,ECOPETROL,true,GAVAN,APIAY,PPA,GAA
GIBRALTAR,GIBRALTAR,ECOPETROL,true,GIBRALTAR,SIRIRI,CUF,DFL
GIGANTE,GIGANTE,ECOPETROL,true,GIGANTE,NEIVA,ANDINA,VAO
GUATIQUIA,GUATIQUIA,ECOPETROL,true,GUATIQUIA,APIAY,PPA,GAA
GUAYUYACO,GUAYUYACO,Gran Tierra Energy,false,,,,
HORMIGA,HORMIGA,ECOPETROL,true,HORMIGA,SUR,PPU,GPA
INFANTAS,INFANTAS,ECOPETROL,true,INFANTAS,LA CIRA,PCI,GCT
JIBA,JIBA,SIERRACOL ENERGY ARAUCA,false,,,,
JIBA UNIFICADO,JIBA UNIFICADO,SIERRACOL ENERGY ARAUCA,false,,,,
JUANAMBU,JUANAMBU,Gran Tierra Energy,false,,,,
LA CIRA,LA CIRA,ECOPETROL,true,LA CIRA,LA CIRA,PCI,GCT
LA HOCHA,LA HOCHA,HOCOL,false,,,,
LA JAGUA,LA JAGUA,ECOPETROL,true,LA JAGUA,TELLO,PPH,GPA
LA SALINA,LA SALINA,PETROSANTANDER,false,,,,
LIBERTAD,LIBERTAD,ECOPETROL,true,LIBERTAD,LA REFORMA,PPA,GAA
LIBERTAD NORTE,LIBERTAD NORTE,ECOPETROL,true,LIBERTAD NORTE,LA REFORMA,PPA,GAA
LISAMA UNIFICADO,LISAMA UNIFICADO,ECOPETROL,true,LISAMA UNIFICADO,LISAMA UNIFICADO,PCN,GRM
LLANITO UNIFICADO,LLANITO UNIFICADO,ECOPETROL,true,LLANITO UNIFICADO,GAL-LLANITO,PCS,GRM
LOMA LARGA,LOMA LARGA,ECOPETROL,true,LOMA LARGA,LOMA LARGA,PPH,GPA
LORITO,LORITO,ECOPETROL,true,LORITO,CPO-09,PUC,GCH
LORO,LORO,ECOPETROL,true,LORO,SUR,PPU,GPA
LOS ANGELES,LOS ANGELES,Gran Tierra Energy,false,,,,
LOS POTROS,LOS POTROS,EMERALD,false,,,,
MACANA,MACANA,SIERRACOL ENERGY ARAUCA,false,,,,
MANSOYA,MANSOYA,ECOPETROL,true,MANSOYA,NORORIENTE,PPU,GPA
MATANEGRA OESTE,MATANEGRA OESTE,SIERRACOL ENERGY ARAUCA,false,,,,
MORICHE,MORICHE,ECOPETROL,true,MORICHE,NARE,PTN,GTA
MORROCOY,MORROCOY,SIERRACOL ENERGY ARAUCA,false,,,,
NARE UNIFICADO,NARE UNIFICADO,ECOPETROL,true,NARE UNIFICADO,NARE - UNIFICADO,PTN,GTA
ORIPAYA,ORIPAYA,ECOPETROL,true,,,,
ORITO,ORITO,ECOPETROL,true,ORITO,ORITO,PPU,GPA
